spot_artists,spot_song_name,other_artists,other_song_name,match_found,other_index,spot_index,best_match_score,best_match_artist_match_pct,best_match_name_match_pct
the rolling stones,ruby tuesday,the rolling stones,ruby tuesday,True,28128.0,3044,100.0,100.0,100.0
the rolling stones,"paint it, black",the rolling stones,"paint it, black",True,28125.0,3043,100.0,100.0,100.0
belinda carlisle,heaven is a place on earth,belinda carlisle,heaven is a place on earth,True,2188.0,269,100.0,100.0,100.0
bee gees,you should be dancing,bee gees,you should be dancing,True,2177.0,268,100.0,100.0,100.0
bee gees,tragedy,bee gees,tragedy,True,2175.0,267,100.0,100.0,100.0
bee gees,too much heaven,bee gees,too much heaven,True,2174.0,266,100.0,100.0,100.0
bee gees,stayin' alive,bee gees,stayin' alive,True,2169.0,265,100.0,100.0,100.0
bee gees,love you inside out,bee gees,love you inside out,True,2158.0,263,100.0,100.0,100.0
bee gees,jive talkin',bee gees,jive talkin',True,2153.0,262,100.0,100.0,100.0
bee gees,how deep is your love,bee gees,how deep is your love,True,2148.0,261,100.0,100.0,100.0
bee gees,how can you mend a broken heart,bee gees,how can you mend a broken heart,True,2147.0,260,100.0,100.0,100.0
beck,loser,beck,loser,True,2126.0,259,100.0,100.0,100.0
the rolling stones,honky tonk women,the rolling stones,honky tonk women,True,28110.0,3041,100.0,100.0,100.0
the rolling stones,brown sugar,the rolling stones,brown sugar,True,28097.0,3039,100.0,100.0,100.0
the righteous brothers,(you're my) soul and inspiration,the righteous brothers,(you're my) soul and inspiration,True,28039.0,3035,100.0,100.0,100.0
the rascals,people got to be free,the rascals,people got to be free,True,27998.0,3033,100.0,100.0,100.0
the proclaimers,i'm gonna be (500 miles),the proclaimers,i'm gonna be (500 miles),True,27948.0,3032,100.0,100.0,100.0
the police,don't stand so close to me,the police,don't stand so close to me,True,27921.0,3026,100.0,100.0,100.0
big tymers,still fly,big tymers,still fly,True,2517.0,287,100.0,100.0,100.0
big sean,bounce back,big sean,bounce back,True,2485.0,284,100.0,100.0,100.0
beyonce,texas hold 'em,beyonce,texas hold 'em,True,2423.0,282,100.0,100.0,100.0
beyonce,single ladies (put a ring on it),beyonce,single ladies (put a ring on it),True,2417.0,281,100.0,100.0,100.0
beyonce,irreplaceable,beyonce,irreplaceable,True,2395.0,280,100.0,100.0,100.0
beyonce,halo,beyonce,halo,True,2389.0,279,100.0,100.0,100.0
beyonce,drunk in love,beyonce,drunk in love,True,2381.0,278,100.0,100.0,100.0
beyonce,crazy in love,beyonce,crazy in love,True,2371.0,277,100.0,100.0,100.0
beyonce,check on it,beyonce,check on it,True,2367.0,276,100.0,100.0,100.0
beyonce,break my soul,beyonce,break my soul,True,2365.0,275,100.0,100.0,100.0
beyonce,baby boy,beyonce,baby boy,True,2359.0,274,100.0,100.0,100.0
